Customer ID,Loan Sanction Amount (USD)
C-26247,73081.414
C-35067,53763.156
C-34590,96499.85
C-16668,47061.855
C-12196,57481.0
C-2600,15746.471
C-9047,81997.49
C-2206,64289.78
C-25607,20202.4
C-11606,10994.515
C-3624,69038.516
C-43027,27194.508
C-15190,107603.195
C-25816,12798.3125
C-26370,32792.31
C-1281,155556.06
C-29433,8136.691
C-36256,40609.066
C-34217,32708.855
C-39950,53763.156
C-6756,17071.84
C-26652,43494.21
C-3991,57481.0
C-40312,32708.855
C-24580,159647.27
C-4949,76801.914
C-18783,73081.414
C-39205,59766.33
C-23784,37577.074
C-39508,86001.414
C-19062,89266.586
C-48140,32792.31
C-11314,46852.613
C-766,57481.0
C-39319,8136.691
C-15299,38866.086
C-10298,26660.574
C-25573,38866.086
C-18750,17687.207
C-19298,27194.508
C-11497,47061.855
C-42250,18070.133
C-17501,32708.855
C-24290,47453.043
C-8590,87724.88
C-8038,47061.855
C-25261,38866.086
C-32634,10880.783
C-15073,37577.074
C-44174,15746.471
C-31916,57481.0
C-30620,18070.133
C-12561,38866.086
C-40301,95490.59
C-14716,15746.471
C-27558,32792.31
C-32563,33163.33
C-31387,17071.84
C-45649,37493.625
C-22572,21886.484
C-48427,52043.773
C-24904,46852.613
C-27683,15360.781
C-43495,53763.156
C-25735,21421.902
C-21375,66753.195
C-41309,47311.98
C-7767,20375.629
C-11841,36482.977
C-5763,81997.49
C-8389,32708.855
C-16692,32792.31
C-33430,109395.95
C-2953,153589.52
C-11912,18685.504
C-6072,57481.0
C-6321,24039.059
C-26772,53763.156
C-24747,41889.008
C-20883,155618.88
C-11751,37577.074
C-24776,66753.195
C-20642,18070.133
C-9613,25085.336
C-45334,52207.71
C-37941,52207.71
C-2908,32708.855
C-13784,10994.515
C-26710,52207.71
C-1892,47061.855
C-49928,87724.88
C-23082,66753.195
C-27939,38782.637
C-41801,8136.691
C-19700,8136.691
C-43113,32708.855
C-27336,69038.516
C-36772,32708.855
C-3197,8425.361
C-14674,59198.438
C-5092,16762.516
C-41664,29317.477
C-85,24039.059
C-48382,32792.31
C-35744,66427.04
C-32776,19851.85
C-49131,19678.621
C-29703,29317.477
C-14880,27997.832
C-36170,28545.66
C-41645,18685.504
C-4784,29400.928
C-38418,43704.37
C-13222,64289.78
C-32852,18685.504
C-21795,21497.07
C-121,28271.195
C-39952,26951.55
C-45166,38782.637
C-32641,40609.066
C-27678,12798.3125
C-10704,85639.57
C-33461,18685.504
C-22001,81975.445
C-30170,53763.156
C-23960,47311.98
C-16139,15746.471
C-27022,9078.722
C-19074,18070.133
C-49284,12798.3125
C-8598,32488.943
C-14962,21886.484
C-35254,20005.557
C-30635,87724.88
C-6981,11196.136
C-5924,25085.336
C-9590,32708.855
C-23842,46852.613
C-45972,106789.64
C-39623,66753.195
C-49153,21886.484
C-34958,57154.85
C-36476,51935.91
C-28630,29400.928
C-12012,57481.0
C-37986,57481.0
C-11513,47061.855
C-48999,57481.0
C-7194,40609.066
C-14162,47061.855
C-6137,10880.783
C-7348,32708.855
C-25756,20562.863
C-40915,69592.88
C-28646,20375.629
C-31130,33079.88
C-8532,11477.633
C-24097,25085.336
C-1855,18685.504
C-35375,32708.855
C-3997,130917.17
C-42188,37577.074
C-33694,8136.691
C-1613,24313.52
C-9405,64289.78
C-5964,25085.336
C-20231,24039.059
C-23969,10880.783
C-36011,104413.29
C-23079,101001.14
C-44925,16762.516
C-9000,82961.68
C-49513,19851.85
C-49824,52043.773
C-17542,90825.234
C-39446,37493.625
C-24862,20375.629
C-30025,32708.855
C-20039,20293.986
C-34113,74548.33
C-19871,47539.95
C-7017,17595.621
C-16017,57481.0
C-1475,66753.195
C-35040,46852.613
C-37318,12798.3125
C-4757,63451.945
C-26696,38782.637
C-2450,84685.15
C-38702,38866.086
C-31969,32708.855
C-34069,18070.133
C-23160,20840.21
C-30804,10994.515
C-49195,52207.71
C-13029,44107.99
C-39590,11477.633
C-45950,21421.902
C-1907,130917.17
C-9729,22543.344
C-24353,32708.855
C-3768,100327.77
C-48652,153589.52
C-14858,9657.6455
C-32326,20650.09
C-35385,25085.336
C-45900,53437.008
C-5823,32792.31
C-29879,38866.086
C-2015,37577.074
C-19823,47539.95
C-19528,47061.855
C-40682,73797.875
C-49354,8136.691
C-25744,100484.03
C-14328,47539.95
C-2727,63451.945
C-45497,16270.253
C-17894,152488.64
C-10903,20293.986
C-39413,46852.613
C-4926,22306.936
C-29376,19851.85
C-7440,32792.31
C-38279,25085.336
C-43246,46852.613
C-33701,43494.21
C-1603,88177.516
C-21756,27997.832
C-20553,15746.471
C-40318,32792.31
C-23274,29317.477
C-3521,22581.396
C-19742,38866.086
C-42176,24039.059
C-33938,95562.1
C-20363,88035.98
C-1614,92421.18
C-22568,21886.484
C-24796,29317.477
C-25092,47453.043
C-40256,24039.059
C-27504,40609.066
C-25753,69592.88
C-27194,38866.086
C-17798,12798.3125
C-11864,27997.832
C-722,18070.133
C-8111,109910.74
C-25051,25614.297
C-42216,37577.074
C-20767,25085.336
C-22334,44107.99
C-23551,38131.71
C-48437,10880.783
C-21452,47061.855
C-16307,37577.074
C-29324,27997.832
C-4513,21421.902
C-32774,18685.504
C-15695,18685.504
C-48811,97216.26
C-24101,57481.0
